Title,Director,Cast,Genre,Year,new_Genre
Chalo Assembly,Narayana Murthy,"Narayana Murthy, Usha",Action,2000,Action
Rojuko Roja,G. J. Raja,"Raja Vikram, Rashmita, Swapna Sri",Romance,2000,Romance
Mrugaraju,Gunasekhar,"Chiranjeevi, Simran, Nagendra Babu",Action,2001,Action
Narasimha Naidu,B. Gopal,"Nandamuri Balakrishna, Simran, K. Vishwanath",Drama,2001,Drama
Devi Putrudu,Kodi Ramakrishna,"Venkatesh, Soundarya, Anjala Zaveri",Fantasy,2001,Fantasy
Shivudu,Gosangi Krishna Rao,"Suresh, Satyaprakash, Betha Sudhakar, M. S. Narayana",Action,2001,Action
Navvuthu Bathakalira,Kodi Ramakrishna,"J. D. Chakravarthy, Sangeeta",Drama,2001,Drama
Soori,Sankara Kumar,"J. D. Chakravarthy, Priyanka Upendra, Tanikella Bharani",Drama,2001,Drama
Malli Inkoka Sari,Sahadev Reddy,"Sri Madhav, Sahana, Snehita",Romance,2001,Romance
Priyamaina Neeku,Balasekaran,"Tarun Kumar, Sneha",Romance,2001,Romance
Ammo Bomma,Relangi Narasimha Rao,"Rajendra Prasad, Suman",Horror Comedy,2001,Horror Comedy
Murari,Krishna Vamsi,"Mahesh Babu, Sonali Bendre",Romance,2001,Romance
Maa Ayana Sundarayya,Hari Babu,"Srihari, Sangeeta Kota Srinivasa Rao",Drama,2001,Drama
Sorry Aunty,Natti Kumar,"Uttej, Gundu Hanumantha Rao, Tirupathi Prakash",Comedy,2001,Comedy
Madhura Kshanam,Aalla Rambabu,"Chalapathi, Aarti Chhabria",Romance,2001,Romance
Pillalu Techina Annala Rajyam,C. H. M. Krishna,"Prasad Babu, Ravindra, Narasimha Raju",Drama,2001,Drama
Budget Padmanabham,S. V. Krishna Reddy,"Jagapati Babu, Ravi Teja, Ramya Krishnan",Comedy Drama,2001,Comedy Drama
Cheppukondi Chuddam,K Ranga Rao,"Suman, M. S. Narayana, Tirupathi Prakash",Comedy,2001,Comedy
Deevinchandi,Muthyala Subbaiah,"Srikanth, Raasi, Malavika",Romance,2001,Romance
Railway Coolie,Kodi Ramakrishna,"Mammootty, Meena, Harish",Action,2001,Action
Eduruleni Manishi,Srinivasa Rao,"Akkineni Nagarjuna, Soundarya, Shenaz Treasurywala",Action,2001,Action
Aghora,Megoti Sanjeev Kumar,"Uttej, Gautam Raju, Sripriya",Horror,2001,Horror
Preminchu,Boyani Subbarao,"Sai Kiran, Laya",Drama,2001,Drama
Akka Bavekkada,Raja Vannem Reddy,"J. D. Chakravarthy, Raasi",Romance,2001,Romance
Orey Thammudu,Sai Balaji,"Srihari, Sanghavi",Action,2001,Action
Raave Naa Cheliya,P Kishore Kumar,"Sai Kiran, AVS, Prudhviraj",Romance,2001,Romance
Darling Darling,M. V. Murali Krishna,"Srikanth, Shaheen Khan",Romance,2001,Romance
Kushi,S. J. Suryah,"Pawan Kalyan, Bhoomika Chawla, Mumtaj",Romance,2001,Romance
Love,Ravi Chavali,"Sivaji, Manya, Ali, Tanikella Bharani",Romance,2001,Romance
Ammayi Kosam,Muppalaneni Siva,"Vineeth, Meena, Ravi Teja, Venu",Comedy,2001,Comedy
Prematho Raa,Udayasankar,"Venkatesh, Simran",Romance,2001,Romance
Pandanti Samsaram,Krishna,"Krishna, Babu Mohan, Kota Srinivasa Rao",Drama,2001,Drama
Ninnu Chudalani,V. R. Pratap,"Jr. NTR, Raveena Rajput",Romance,2001,Romance
Chinna,Dasari Narayana Rao,"Dasari Narayana Rao, Kota Srinivasa Rao, Betha Sudhakar",Action,2001,Action
Maa Aavida Meda Ottu Mee Aavida Chala Manchidi,E. V. V. Satyanarayana,"Meka Srikanth, Laya, Raasi, Vadde Naveen",Drama,2001,Drama
Andhala O Chilaka,B. Gopal,"Dhanush, Siri",Romance,2001,Romance
Family circus,Teja,"Jagapati Babu, Rajendra Prasad, Roja",Comedy,2001,Comedy
Repallelo Radha,Saritha,"Dileep, Gummadi, Satyanarayana",Drama,2001,Drama
Vayasu,Sai Sagar,"Ramesh Mitra, Yada Krishna",Romance,2001,Romance
Bava Nachadu,KS Ravikumar,"Akkineni Nagarjuna, Simran, Reema Sen",Romance,2001,Romance
Bhalevadivi Basu,P. A. Arun Prasad,"Balakrishna Nandamuri, Shilpa Shetty, Anjala Zaveri",Romance,2001,Romance
Sri Manjunatha,K. Raghavendra Rao,"Arjun, Soundarya, Chiranjeevi, Meena Durairaj",Devotional,2001,Devotional
Vechi Vunta,Sriram Murthy,"Raja, Uttej, Krishna Bhagavaan",Romance,2001,Romance
Kalisi Naduddam,Kodi Ramakrishna,"Srikanth, Soundarya, Rama Prabha, Brahmanandam",Drama,2001,Drama
Khaki Chokka,Vikky,"Sai Kumar, Neelambari, Thriller Manju",Action,2001,Action
Simharasi,V. Samudra,"Rajasekhar, Sakshi Shivanand",Family,2001,Family
Atu America-Itu India,Gummaluri Shastry,"Vijay Nainan, Venessa, Sunny",Social,2001,Social
Ramma Chilakamma,Krishna Vamsi,"Sumanth, Laya",Family,2001,Family
Sampangi,Sanayadi Reddy,"Kanchi Kaul, Arjan Bajwa, Deepak",Romance,2001,Romance
Naa Manasistha Raa,R.R.Shinde,"Srikanth, Richa, Soundarya",Romance,2001,Romance
Jackpot,G. Kasinath,"Kasinath, Naveena, L. B. Sriram, Jaya Prakash Reddy",Drama,2001,Drama
Tholi Valapu,Muthyala Subbaiah,"Gopichand, Sneha",Romance,2001,Romance
Shubakaryam,Ravi Raja Pinisetty,"Rajasekhar, Naveen, Asha Saini",Drama,2001,Drama
Wife,Ravipalli Rambabu,"Sivaji, Preetha Vijayakumar",Romance,2001,Romance
Nuvvu Nenu,Teja,"Uday Kiran, Anitha",Romance,2001,Romance
Evadra Rowdy,Sarath,"Srihari, Sanghavi, Sujatha",Action,2001,Action
Tara,Maniraj,"Akash, Ruthika, Gundu Hanumantha Rao",Drama,2001,Drama
Shubashissulu,M Nagarjuna Reddy,"Anil Raj, Varsha, Giri Babu",Romance,2001,Romance
Akasa Veedhilo,Singeetam Srinivasa Rao,"Akkineni Nagarjuna, Raveena Tandon",Drama,2001,Drama
Cheppalani Vundi,Chandra Mahesh,"Naveen, Raasi, Kanchi Kaul",Romance,2001,Romance
Chandu,Veeru K,"Pavan Kumar, Archana, L. B. Sriram",Romance,2001,Romance
Naalo Vunna Prema,Pratap,"Jagapathi Babu, Gajala, Laya",Romance,2001,Romance
Nuvvu Naaku Nachav,Vijaya Bhaskar,"Venkatesh, Arthi Agarwal",Comedy,2001,Comedy
Itlu Sravani Subramanyam,Puri Jagannadh,"Ravi Teja, Tanu Roy",Romance,2001,Romance
Adhipathi,Ravi Raja Pinisetty,"Mohan Babu, Akkineni Nagarjuna, Preeti Jhangiani, Soundarya",Action,2001,Action
Idhe Naa Modhati Premalekha,G. Nageswara Reddy,"Jayaram, Rimmi Sen",Romance,2001,Romance
Chiranjeevulu,Radha Krishna,"Ravi Teja, Sanghavi, Sivaji",Drama,2001,Drama
Chirujallu,Sriram Balaji,"Tarun, Richa Pallod",Romance,2001,Romance
Student No.1,S. S. Rajamouli,"Jr. NTR, Gajala",Drama,2001,Drama
Anandam,Srinu Vaitla,"Jai Akash, Rekha Vedavyas",Romance,2001,Romance
