Title,Director,Cast,Genre,Year,new_Genre
Yahudi Ki Ladki,Premankur Atorthy,"K. L. Saigal, Rattan Bai, Pahari Sanyal, Nawab, Kumar, Radharani, Ghulam Mohammed, Tarabai",Costume Drama,1933,Costume Drama
Zahar-E-Ishq,J. P. Advani,"P. Jairaj, Zohrajan, Master Bachchu, Lovji Lavangia, Panna",Costume,1933,Costume
Zahari Saap,J. J. Madan,"Jehanara Kajjan, Gulam Hussain, Patience Cooper, Rosy, Kabuli, Sorabji Kerawala, Sheela, Mustafa, C. Panthaki, Fakiruddin",Costume,1933,Costume
Daku Mansoor,Nitin Bose,"K. L. Saigal, Prithviraj Kapoor, Uma Shashi, Pahari Sanyal, Nemo, Husn Banu,",Costume Action,1934,Costume Action
Dard E Dil,"M. Bhavnani, Moti Jhangiani","P. Jairaj, Lalita Devulkar, Tarabai, Khalil, Ameena, Bhudo Advani, Navin, Parashar, W. M. Khan, Nayampally, Abu Bakar, Gyani",Costume Drama,1934,Costume Drama
Devaki,N. D. Sarpotdar,"Sulochana (Ruby Myers), D. Billimoria, Dulari, Dattar, Raja Sandow, Jadhav, Devaskar, Lahnoo, Sarpotdar",Devotional,1934,Devotional
Dhartikamp,Saki,"Radharani, Sayani Atish, Roshanara Begum, Inamdar",Action,1934,Action
Dilara,J. P. Advani,"Sardar Akhtar, Zebunissa, Kamla, Ashraf Khan, J. Gidwani, Ebrahim, Sher Ali, Balabhai",Social,1934,Social
Dolti Nayya,Drupad Roy,"B. Sohani, Sundri, Bhagwandas, Narenbabu, Meera",Social,1934,Social
Dukhtar-e-Hind,A. P. Kapoor,"Master Nissar, Ameena, W. M. Khan, Bibbo, Bhudo Advani, Tarabai, Navin, Shahzadi,",Costume,1934,Costume
Flashing Sword a.k.a. Chamakti Shamsheer,Ahmed H. Essa,"Kanta Kumari, Master Chonkar, Lovji Lavangia, A. Hamid, S. Usman, Manish",Action,1934,Action
Garib Ki Duniya,Sorabji Kerawala,"Jehanara Kajjan, Patience Cooper, S. Kerawala, Sharifa, Mohammed Hussain, Lakshmi",Social,1934,Social
