Title,Director,Cast,Genre,Year
Md Bin Tuglak,,"Nagabhushanam, S. P. Balasubrahmanyam",Political Satire,1972
Neeti-Nijayiti,Singeetam Srinivasa Rao,"Krishnam Raju, Kanchana",,1972
Pandanti Kapuram,Lakshmi Deepak,,,1972
Papam Pasivadu,V. Ramachandra Rao,,,1972
Raitu Kutumbam,Tatineni Rama Rao,"ANR, Kanchana",Rural background,1972
Raj Mahal,,"Krishna, Kishnamraju",Action,1972
Sabhash Baby?,,,,1972
Sabhash Vadina,,,,1972
Shri Krishnanjaneya Yuddham,C. S. Rao,"NTR, Devika, Vanisri",,1972
Vichitra Bandham,Adurthi Subba Rao,"ANR, Vanisri",,1972
Vinta Dampatulu,K. Hemabandhara Rao,Nagabhushanam,Social,1972
Vooriki Vupakari,,"Chalam, Kannada Aarathi",,1972
Abhimanavantulu,,"Krishnam Raju, Sharada",,1973
Andala Ramudu[1],Bapu,"ANR, Latha, Nagabhushanam, Allu Ramalingaiah",,1973
Bangaru Babu,V. B. Rajendra Prasad,"ANR, Vanisri",,1973
Bhakta Tukaram,V. Madhusudhan Rao,"ANR, Anjali Devi, Sivaji Ganesan, Kanchana",,1973
Dabbuki Lokam Dasoham,D. Yoganand,"NTR, Jamuna",,1973
Desoddharakulu,C. S. Rao,"NTR, Vanisri",,1973
Devudu Chesina Manushulu,V. Ramachandra Rao,"NTR, Krishna",,1973
Dhanama? Daivama?,C. S. Rao,"NTR, Jamuna",,1973
Doctor Babu,,,,1973
Errakota Veerudu,Pardhasaradhi,"N. T. Rama Rao, B. Saroja Devi, Savitri, Rajanala",Fantasy,1973
Gandhi Puttina Desam,,"Krishnam Raju, Prameela",Social Message,1973
Ganga Manga,V. Rama Chandra Rao,"Vanisri (Double role), Krishna, Sobhan Babu",Remake,1973
Geeta,,,,1973
Geetaanjali,,,,1973
Inti Dongalu,,Krishnam Raju,,1973
Jeevana Tarangalu,,"Vanisri, Sobhan Babu, Krishnam Raju, Laxmi Chandramohan G",,1973
Lokam Marali (Tamil Dub Naangu_Suvargal 1971),K. Balachander,"Jaishankar, Ravichandran, Nagesh, Sowcar Janaki, Vanisri, Vijaya Lalitha, Srividya",,1973
Mamatha,P. Chandra Sekhar Reddy,"Jamuna, Krishna",,1973
Manchi Vallaki Manchivadu,K. S. R. Das,Krishna,,1973
Manchivadu,V. Madhusudhan Rao,"ANR, Vanisri, Kanchana",,1973
Marapurani Manishi,Tatineni Rama Rao,"ANR, Manjula Vijayakumar",,1973
Mayadari Malligadu,Adurti Subba Rao,"Krishna, Manjula, Jayanthi, Nagabhushanam",Social,1973
Meghamala,,,,1973
Memu Manushulame,,Krishnam Raju,,1973
Neramu Siksha,K. Viswanath,"Krishna, Chandrakala",,1973
